name,address,price,comment
听雨阁茶楼,'茶馆|中和',人均,条评价
麓友茶馆,'茶馆|华阳',人均,条评价
颐悦茶坊,'茶馆|华阳',人均,条评价
老爷茶楼,'茶馆|航空港',人均,'2'条评价
御尚茗品茶府,'茶馆|双流万达',人均,条评价
心怡茶坊(新富街),'茶馆|川师大菊园一条路',人均,条评价
君临茶楼,'茶馆|中和',人均,条评价
YI立方,'茶馆|华阳',人均,条评价
四方阁茶楼,'茶馆|华阳',人均,条评价
贤德源茶府,'茶馆|天府新区',人均,条评价
顶尚村茶楼,'茶馆|航空港',人均,条评价
王姐茶坊,'茶馆|双流区其他',人均,条评价
湖畔茶坊,'茶馆|华阳',人均,条评价
贡噶雍卓林卡,'茶馆|东升镇',人均,条评价
港府茶楼,'茶馆|华阳',人均,'4'条评价
仟亿茶府(三都汇店),'茶馆|天府新区',人均,'5'条评价
茶语和茶楼,'茶馆|天府新区',人均,'3'条评价
双流区清云轩茶坊,'茶馆|航空港',人均,'3'条评价
浅瓯茶隅,'茶馆|天府新区',人均,'9'条评价
正山堂(西博城分店),'茶馆|华阳',人均,条评价
银河谷茶楼,'茶馆|东升镇',人均,'16'条评价
闽园问茶茶艺馆,'茶馆|天府新区',人均'￥55','7'条评价
怡茶府,'茶馆|华阳',人均,'4'条评价
海滨茶楼,'茶馆|蛟龙港/海滨城',人均,'3'条评价
麓府茶轩,'茶馆|华阳',人均,条评价
左岸茶舍,'茶馆|天府新区',人均,'3'条评价
南湖时光,'茶馆|天府新区',人均,'2'条评价
玉麒麟茶府,'茶馆|华阳',人均,'5'条评价
柳春来茶馆,'茶馆|双流区其他',人均,'4'条评价
尚锦茶府,'茶馆|天府新区',人均,'7'条评价
茗伦茶楼,'茶馆|天府新区',人均,条评价
天悦茶府,'茶馆|天府新区',人均,'3'条评价
君悦茗雅,'茶馆|华阳',人均,'7'条评价
云雾茶府,'茶馆|华阳',人均,条评价
惬意天府茶社,'茶馆|华阳',人均,条评价
青沐茶楼,'茶馆|益州国际广场',人均,'2'条评价
大宅院茶府,'茶馆|华阳',人均,'5'条评价
慕缘堂茶楼,'茶馆|天府新区',人均,条评价
红顶茗缘,'茶馆|华阳',人均,'2'条评价
非常道茶府(天府店),'茶馆|天府新区',人均,'4'条评价
快乐之家,'茶馆|天府新区',人均,'6'条评价
听雨楼茶府,'茶馆|华阳',人均,'2'条评价
九合商务茶楼,'茶馆|天府新区',人均,'3'条评价
紫馨阁茶楼,'茶馆|中和',人均'￥12','7'条评价
鑫港湾茶府,'茶馆|华阳',人均,'7'条评价
茗鼎茶楼(和平路店),'茶馆|天府新区',人均,条评价
陋隐茶舍,'茶馆|华阳',人均,条评价
丽园茶府(龙腾苑店),'茶馆|华阳',人均,条评价
云庭茶楼,'茶馆|双流机场',人均,条评价
南湖茶府,'茶馆|天府新区',人均,条评价
金鼎茶楼,'茶馆|天府新区',人均,'9'条评价
清雅阁茶楼,'茶馆|东升镇',人均,条评价
喜悦茶坊,'茶馆|华阳',人均,条评价
海天阁茶府,'茶馆|天府新区',人均,'7'条评价
府河茶都,'茶馆|天府新区',人均,'8'条评价
和逸茶楼,'茶馆|天府新区',人均,条评价
自在茶坊,'茶馆|天府新区',人均,条评价
理想国茶,'茶馆|天府新区',人均,'3'条评价
翔泰茶楼,'茶馆|天府新区',人均,'2'条评价
聚韵阁茶楼,'茶馆|中和',人均,条评价
逸品善道,'茶馆|华阳',人均,条评价
静舍.茶,'茶馆|东升镇',人均,条评价
普皇茶庄,'茶馆|华阳',人均,条评价
茗道茶府,'茶馆|天府新区',人均,条评价
宽和茶府,'茶馆|华阳',人均,条评价
辰光茶坊,'茶馆|东升镇',人均,条评价
天茗阁茶坊,'茶馆|华阳',人均,条评价
茶欣根据地茶楼,'茶馆|华阳',人均,条评价
润馨茶楼,'茶馆|天府新区',人均,条评价
南屏茶府,'茶馆|华阳',人均,条评价
金兰茶府,'茶馆|中和',人均,'3'条评价
茗都茶楼,'茶馆|城南优品道广场',人均,'3'条评价
朝福湾茶馆,'茶馆|天府新区',人均,'5'条评价
麓兰茶苑,'茶馆|华阳',人均,'7'条评价
尚林茶楼,'茶馆|天府新区',人均,'3'条评价
宏韵茶坊,'茶馆|华阳',人均,条评价
一壶清茶,'茶馆|中和',人均,'5'条评价
槿汐茶坊,'茶馆|华阳',人均,条评价
戈二茶社,'茶馆|天府新区',人均,条评价
小茶府,'茶馆|双流区其他',人均,条评价
MBV(南湖公园店),'茶馆|华阳',人均,'3'条评价
圣祥源茶坊,'茶馆|东升镇',人均,条评价
威尔仕茶坊,'茶馆|城南优品道广场',人均,'3'条评价
梅之锦庐茶府,'茶馆|航空港',人均,条评价
景歆阁茶府,'茶馆|中和',人均,条评价
十一号茶府,'茶馆|航空港',人均,条评价
中国现代五项赛事中心-商务中心,'茶馆|华阳',人均,'5'条评价
德胜茶府,'茶馆|航空港',人均,条评价
荣州茗府茶楼(观东三街店),'茶馆|华阳',人均,条评价
水岸阳光茶坊,'茶馆|天府新区',人均,'4'条评价
欧香茶坊,'茶馆|天府新区',人均,条评价
怡心茶府,'茶馆|华阳',人均,条评价
蜀都相府茶楼,'茶馆|华阳',人均,条评价
恒福茶楼,'茶馆|天府新区',人均,'3'条评价
欣源茶府,'茶馆|天府新区',人均,'2'条评价
壹品居茶楼,'茶馆|天府新区',人均,条评价
雅昀茶府,'茶馆|天府新区',人均,条评价
茗都汇(老成仁路店),'茶馆|中和',人均,条评价
银泰茶楼,'茶馆|双流机场',人均,条评价
水月轩茶楼,'茶馆|天府新区',人均,条评价
半日闲茶府,'茶馆|天府新区',人均,条评价
艺林茶楼,'茶馆|中和',人均,'2'条评价
茶吾田舍,'茶馆|华阳',人均,条评价
欣睿茶楼,'茶馆|华阳',人均,条评价
五城四维茶楼,'茶馆|双流区其他',人均,条评价
清和印象,'茶馆|华阳',人均,条评价
欣源茶府,'茶馆|天府新区',人均,条评价
金壶春茶楼,'茶馆|航空港',人均,条评价
都市茶语休闲会所,'茶馆|华阳',人均,条评价
